epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1949.65,0.88619,1.06032,1.15656,0.42054,0.26397,0.29921,0.11884,2.37263,3.15087,2.32085,0.000235807,0.000235807,0.000235807
86,1971.98,0.82089,0.92291,1.06363,0.43399,0.26397,0.30729,0.12035,2.32975,3.11826,2.25558,0.000224587,0.000224587,0.000224587
87,1994.1,0.85763,0.95311,1.10322,0.43399,0.26397,0.30729,0.12035,2.32975,3.11826,2.25558,0.000213036,0.000213036,0.000213036
88,2016.12,0.83998,1.00121,1.11751,0.40729,0.27835,0.30435,0.13425,2.29301,3.12868,2.23178,0.000201155,0.000201155,0.000201155
89,2038.53,0.80534,0.87936,1.05089,0.40729,0.27835,0.30435,0.13425,2.29301,3.12868,2.23178,0.000188944,0.000188944,0.000188944
90,2060.93,0.82994,0.91426,1.07693,0.41412,0.2777,0.29841,0.13178,2.29938,3.13505,2.24716,0.000176404,0.000176404,0.000176404
91,2083.24,0.85019,1.16176,1.11193,0.41412,0.2777,0.29841,0.13178,2.29938,3.13505,2.24716,0.000163533,0.000163533,0.000163533
92,2105.74,0.9299,1.34891,1.14369,0.43107,0.28088,0.2955,0.13388,2.2906,3.11556,2.22551,0.000150332,0.000150332,0.000150332
93,2128.17,0.82411,1.22896,1.08986,0.43107,0.28088,0.2955,0.13388,2.2906,3.11556,2.22551,0.000136801,0.000136801,0.000136801
94,2150.61,1.06823,1.31912,1.16884,0.68294,0.28026,0.30822,0.14785,2.27107,3.06754,2.21194,0.00012294,0.00012294,0.00012294
95,2172.91,0.88909,1.18071,1.08617,0.68294,0.28026,0.30822,0.14785,2.27107,3.06754,2.21194,0.000108748,0.000108748,0.000108748
96,2195.47,0.84508,1.20168,1.09072,0.67431,0.28088,0.30776,0.15117,2.27811,3.06861,2.21393,9.42272e-05,9.42272e-05,9.42272e-05
97,2217.82,0.9143,1.27505,1.12563,0.67431,0.28088,0.30776,0.15117,2.27811,3.06861,2.21393,7.93759e-05,7.93759e-05,7.93759e-05
98,2240.88,0.81186,1.16235,1.08671,0.64978,0.28088,0.30963,0.15178,2.27327,3.06869,2.21101,6.41945e-05,6.41945e-05,6.41945e-05
99,2263.96,0.92257,1.29402,1.20436,0.64978,0.28088,0.30963,0.15178,2.27327,3.06869,2.21101,4.86831e-05,4.86831e-05,4.86831e-05
100,2286.49,0.8035,1.12222,1.0376,0.64941,0.28088,0.31149,0.15168,2.27024,3.05052,2.20002,3.28416e-05,3.28416e-05,3.28416e-05
